He;	was: 1, 
through;	the: 1, 
water,;	and: 1, 
raised;	the: 1, 
back;	to: 1, 
surface;	world: 1, 
world;	and: 1, with: 1, 
set;	her: 1, 
down;	on: 1, 
on;	the: 1, 
shoals;	of: 1, 
Azura's;	coast.: 1, 
coast.;	There: 1, 
lay;	for: 1, 
more;	months,: 1, 
months,;	caring: 1, 
caring;	for: 1, 
egg-knowledge;	by: 1, 
by;	whispering: 1, certain: 1, 
whispering;	to: 1, 
Codes;	of: 1, 
Mephala;	and: 1, 
prophecies;	of: 1, 
Veloth;	and: 1, 
even;	the: 1, 
forbidden;	teachings: 1, 
teachings;	of: 1, 
Seven;	Daedra: 1, 
Daedra;	came: 1, 
one;	night: 1, gave: 1, and: 1, 
night;	and: 1, 
gave;	to: 1, this: 1, 
new;	motions: 1, 
motions;	that: 1, 
could;	be: 1, have: 1, 
be;	achieved: 1, 
achieved;	by: 1, 
certain;	movements: 1, 
movements;	of: 1, 
bones.;	These: 1, 
These;	are: 1, 
are;	called: 1, 
called;	the: 1, Fa-Nuit-Hen,: 1, 
Barons;	of: 1, and: 1, 
Move;	Like: 1, 
Like;	This.: 1, 
This.;	Then: 1, 
eighth;	Daedroth: 1, 
Daedroth;	came,: 1, 
came,;	and: 1, 
he;	was: 1, will: 1, 
Demiprince,;	called: 1, 
Fa-Nuit-Hen,;	or: 1, 
Multiplier;	of: 1, 
Motions;	Known.: 1, 
Known.;	And: 1, 
Fa-Nuit-Hen;	said:: 1, 
'Whom;	do: 1, 
do;	you: 1, 
wait;	for?': 1, 
To;	which: 1, 
said;	the: 2, 
'Go;	to: 1, 
land;	of: 1, 
Indoril;	in: 1, 
three;	months': 1, grams: 1, 
months';	time,: 1, 
time,;	for: 1, 
when;	war: 1, 
comes.;	I: 1, 
I;	return: 1, show: 1, have: 1, 
return;	now: 1, 
now;	to: 1, 
haunt;	the: 1, 
warriors;	who: 1, 
fell;	and: 1, 
still;	wonder: 1, 
wonder;	why.: 1, 
why.;	But: 1, 
But;	first: 1, 
show;	you: 1, 
Demiprince;	joined: 1, 
joined;	together: 1, 
together;	into: 1, 
pillar;	of: 1, 
fighting;	styles: 1, 
styles;	terrible: 1, 
terrible;	to: 1, 
behold;	and: 1, 
danced;	before: 1, 
its;	learning: 1, number?': 1, 
learning;	image.: 1, 
'Look,;	little: 1, 
little;	Vehk,: 1, 
Vehk,;	and: 1, 
find;	the: 1, 
face;	behind: 1, 
behind;	the: 1, 
splendor;	of: 1, 
bladed;	carriage,: 1, 
carriage,;	for: 1, 
delivered;	the: 1, 
unmixed;	conflict: 1, 
conflict;	path,: 1, 
path,;	perfect: 1, 
perfect;	in: 1, 
every;	way.: 1, 
way.;	What: 1, 
What;	is: 1, 
It;	is: 1, 
number;	is: 1, of: 1, 
birds;	that: 1, 
can;	nest: 1, 
nest;	in: 1, 
ancient;	tibrol: 1, 
tibrol;	tree,: 1, 
tree,;	less: 1, 
less;	three: 1, 
grams;	of: 1, 
honest;	work,: 1, 
work,;	but: 1, 
but;	Vivec: 1, 
Vivec;	in: 1, 
later;	years: 1, 
years;	found: 1, 
found;	a: 1, 
better;	one: 1, 
this;	secret: 1, 
secret;	to: 1, 
'For;	I: 1, 
have;	crushed: 1, won: 1, 
crushed;	a: 1, 
left;	hand,': 1, 
hand,';	he: 1, 
say,;	'but: 1, 
'but;	in: 1, 
right;	hand: 1, 
hand;	is: 1, 
how;	it: 1, 
won;	against: 1, 
against;	me.: 1, 
me.;	Love: 1, 
Love;	is: 1, 
under;	my: 1, 
